시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,공원구분,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터갱신일자,업태구분명,위도,경도
경기도,평택시,고덕동,"41220128",생활편의형SOC,CVNTL,도시공원,"38호 어린이공원(서정동)",CVNTL_22_41220_03129,,,경기도 평택시 서정동 678-36,어린이공원,1625,"","","","","",2015-04-03,경기도 평택시청,"031-8024-4247","2022-07-11",,37.0524830000,127.0460200000
경기도,평택시,칠원동,"41220105",생활편의형SOC,CVNTL,도시공원,수촌1 어린이공원(수촌지구),CVNTL_22_41220_03414,,,경기도 평택시 칠원동 350-4,어린이공원,2071,"","","","","",2009-12-16,경기도 평택시청,"031-8024-4247","2022-07-11",,37.0221860000,127.1084750000
경기도,평택시,칠원동,"41220105",생활편의형SOC,CVNTL,도시공원,동부 106호 어린이공원(신촌지구),CVNTL_22_41220_03415,,,경기도 평택시 칠원동 388-4,어린이공원,5143,"","","","","",2009-12-16,경기도 평택시청,"031-8024-4247","2022-07-11",,37.0246620000,127.1095600000
경기도,부천시,여월동,"41190118",생활편의형SOC,CVNTL,도시공원,둥지공원,CVNTL_22_41190_01040,,,경기도 부천시 여월동 314,어린이공원,2644.3,배드민턴장,조합놀이대,화장실,"","",2003-11-28,경기도 부천시청,"032-625-4855","2022-07-11",,37.5103570000,126.8025000000
경기도,성남시 분당구,이매동,"41135106",생활편의형SOC,CVNTL,도시공원,과수원공원,CVNTL_22_41135_01248,,,경기도 성남시 분당구 이매동 103,어린이공원,5180.1,야외운동기구,어린이놀이터,벤치,"","",1990-06-22,분당구녹지공원과,"031-729-8092","2022-07-11",,37.4023900000,127.1259900000
경기도,수원시 권선구,서둔동,"41113131",생활편의형SOC,CVNTL,도시공원,한터공원,CVNTL_22_41113_01492,,,경기도 수원시 권선구 서둔동 372,어린이공원,3218,다목적구장,"","","","",,경기도 수원시 권선구 녹지공원과,"031-228-6195","2022-07-11",,37.2678500000,126.9961240000
경기도,수원시 영통구,원천동,"41117102",생활편의형SOC,CVNTL,도시공원,꿈틀이공원,CVNTL_22_41117_01574,,,경기도 수원시 영통구 원천동 581,어린이공원,2374.2,"",조합놀이대1,"","","",,경기도 수원시 영통구 녹지공원과,"031-228-8331","2022-07-11",,37.2773060000,127.0501560000
경기도,수원시 장안구,천천동,"41111133",생활편의형SOC,CVNTL,도시공원,화산공원,CVNTL_22_41111_01676,,경기 수원시 장안구 화산로 85,경기도 수원시 장안구 천천동 336-1,어린이공원,2000,조합놀이대1+ 음수대1+휴게쉼터,조합놀이대1,"","",음수대1,,경기도 수원시 장안구 녹지공원과,"031-228-5995","2022-07-11",,37.2937706000,126.9794363000
경기도,화성시,우정읍,"41590256",생활편의형SOC,CVNTL,도시공원,쌍봉산 근린공원,CVNTL_22_41590_03542,,경기도 화성시 우정읍 조암로 52-5,경기도 화성시 우정읍 조암리 391-14,근린공원,37235,"","",파고라 등,"","",1988-07-23,경기도 화성시청 공원관리과,"031-5189-6626","2022-07-11",,37.0897815000,126.8176980000
경기도,화성시,우정읍,"41590256",생활편의형SOC,CVNTL,도시공원,조암1호 근린공원,CVNTL_22_41590_03541,,경기도 화성시 우정읍 조암동로 58,경기도 화성시 우정읍 조암리 791-5,근린공원,12427,"","",파고라 등,"","",2005-06-20,경기도 화성시청 공원관리과,"031-5189-6626","2022-07-11",,37.0886471000,126.8255716000
