시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,무료이용시간,연체료부과단위시간,연체료,제어방식구분코드,사용방법설명,택배함종류코드,칸개수,칸깊이,칸너비,칸높이,설치일자,고객센터전화번호,데이터갱신일자,업태구분명,위도,경도
경기도,고양시 덕양구,주교동,"41281101",생활편의형SOC,CVNTL,무인택배함,고양안심무인택배함(주교동행정복지센터),CVNTL_19_41281_00001,,경기도 고양시 덕양구 고양대로1315번길 71,경기도 고양시 덕양구 주교동 265-1,"4:00","3:00","4:00","3:00","4:00","3:00","48",24,1000,"1",택배 주문 시 택배함 주소로 주문 후 도착 시 인증번호 입력 후 찾기,대형/01+중형/02,"01/20+02/5","01/20+02/5","01/20+02/5","01/20+02/5",2020-06-01,"1899-4711",2022-07-11,,37.6594770000,126.8296200000
경기도,고양시 덕양구,주교동,"41281101",생활편의형SOC,CVNTL,무인택배함,고양안심무인택배함(주교4경로당),CVNTL_19_41281_00009,,경기도 고양시 덕양구 마상로107번길 18,경기도 고양시 덕양구 주교동 576,"4:00","3:00","4:00","3:00","4:00","3:00","48",24,1000,"1",택배 주문 시 택배함 주소로 주문 후 도착 시 인증번호 입력 후 찾기,대형/01+중형/02,"01/20+02/5","01/20+02/5","01/20+02/5","01/20+02/5",2020-06-01,"1899-4711",2022-07-11,,37.6614340000,126.8360100000
경기도,고양시 덕양구,성사동,"41281106",생활편의형SOC,CVNTL,무인택배함,고양안심무인택배함(원당역버스정류소),CVNTL_19_41281_00011,,경기도 고양시 덕양구 고양대로 1433,경기도 고양시 덕양구 성사동 410-5,"4:00","3:00","4:00","3:00","4:00","3:00","48",24,1000,"1",택배 주문 시 택배함 주소로 주문 후 도착 시 인증번호 입력 후 찾기,대형/01+중형/02,"01/20+02/5","01/20+02/5","01/20+02/5","01/20+02/5",2020-06-01,"1899-4711",2022-07-11,,37.6532630000,126.8435000000
경기도,고양시 덕양구,화정동,"41281123",생활편의형SOC,CVNTL,무인택배함,고양안심무인택배함(화정도서관),CVNTL_19_41281_00002,,경기도 고양시 덕양구 은빛로77번길 8,경기도 고양시 덕양구 화정동 873,"4:00","3:00","4:00","3:00","4:00","3:00","48",24,1000,"1",택배 주문 시 택배함 주소로 주문 후 도착 시 인증번호 입력 후 찾기,대형/01+중형/02,"01/20+02/5","01/20+02/5","01/20+02/5","01/20+02/5",2020-06-01,"1899-4711",2022-07-11,,37.6378670000,126.8371400000
경기도,고양시 덕양구,화정동,"41281123",생활편의형SOC,CVNTL,무인택배함,고양안심무인택배함(덕양구청),CVNTL_19_41281_00012,,경기도 고양시 덕양구 화중로104번길 13,경기도 고양시 덕양구 화정동 955,"4:00","3:00","4:00","3:00","4:00","3:00","48",24,1000,"1",택배 주문 시 택배함 주소로 주문 후 도착 시 인증번호 입력 후 찾기,대형/01+중형/02,"01/20+02/5","01/20+02/5","01/20+02/5","01/20+02/5",2020-08-14,"1899-4711",2022-07-11,,37.6373940000,126.8322700000
경기도,안산시 상록구,본오동,"41271104",생활편의형SOC,CVNTL,무인택배함,본오도서관,CVNTL_19_41271_00072,,경기도 안산시 상록구 각골로 49,경기도 안산시 상록구 본오동 778,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,500,"1",택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수취인 인증 후 물품 수령,대형/01+중형/02+중대형/03+소형/04,"01/1+02/12+03/1+04/6","01/60+02/60+03/60+04/60","01/50+02/50+03/50+04/50","01/90+02/30+03/60+04/20",2017-04-19,"1577-1545",2022-07-11,,37.2940000000,126.8722840000
경기도,고양시 일산서구,덕이동,"41287105",생활편의형SOC,CVNTL,무인택배함,고양안심무인택배함(탄현역),CVNTL_19_41287_00026,,경기도 고양시 일산서구 경의로 856,경기도 고양시 일산서구 덕이동 238-12,"4:00","3:00","4:00","3:00","4:00","3:00","48",24,1000,"1",택배 주문 시 택배함 주소로 주문 후 도착 시 인증번호 입력 후 찾기,대형/01+중형/02,"01/20+02/5","01/20+02/5","01/20+02/5","01/20+02/5",2019-06-01,"1899-4711",2022-07-11,,37.6940730000,126.7610860000
경기도,안산시 단원구,고잔동,"41273101",생활편의형SOC,CVNTL,무인택배함,한국호텔관광전문학교,CVNTL_19_41273_00070,,경기도 안산시 단원구 중앙대로 869,경기도 안산시 단원구 고잔동 531-3,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,500,"1",택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수취인 인증 후 물품 수령,대형/01+중형/02+소형/03+메인중형/04+메인중형/05,"01/7+02/7+03/35+04/1+05/2","01/60+02/60+03/55+04/55+05/55","01/50+02/50+03/40+04/40+05/40","01/90+02/30+03/18+04/18+05/30",2021-03-19,"1577-1545",2022-07-11,,37.3173680000,126.8327900000
경기도,의왕시,청계동,"41430108",생활편의형SOC,CVNTL,무인택배함,청계종합사회복지관,CVNTL_19_41430_00078,,경기도 의왕시 덕장로 19,경기도 의왕시 청계동 983,"0:00","23:59","0:00","23:59","0:00","23:59","0",0,0,"1","물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+소형/04,"02/4+04/14","02/60+04/60","02/50+04/50","02/60+04/30",2016-08-01,"1899-4711",2022-07-11,,37.3912500000,126.9949600000
경기도,고양시 일산서구,일산동,"41287101",생활편의형SOC,CVNTL,무인택배함,고양안심무인택배함(행신역),CVNTL_19_41285_00021,,"",경기도 고양시 일산서구 일산동 1652,"4:00","3:00","4:00","3:00","4:00","3:00","48",24,1000,"1",택배 주문 시 택배함 주소로 주문 후 도착 시 인증번호 입력 후 찾기,대형/01+중형/02,"01/20+02/5","01/20+02/5","01/20+02/5","01/20+02/5",2021-05-01,"1899-4711",2022-07-11,,37.6874280000,126.7773500000
