시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,대표전화번호,관할구역명,데이터갱신일자,업태구분명,위도,경도
경기도,부천시,중동,"41190108",생활편의형SOC,CVNTL,소방서,경기도 부천소방서,CVNTL_21_41190_00012,,경기도 부천시 신흥로 115,경기도 부천시 중동 1218,"031-650-4214",부천시,2022-07-11,,37.4935070000,126.7779200000
경기도,성남시 수정구,수진동,"41131103",생활편의형SOC,CVNTL,소방서,경기도 성남소방서,CVNTL_21_41131_00014,,경기도 성남시 수정구 제일로 111,경기도 성남시 수정구 수진동 4417,"031-720-0212",성남시 분당구 일원,2022-07-11,,37.4366340000,127.1334300000
경기도,연천군,전곡읍,"41800253",생활편의형SOC,CVNTL,소방서,경기도 연천소방서,CVNTL_21_41800_00024,,경기도 연천군 전곡읍 평화로 892,경기도 연천군 전곡읍 은대리 422-4,"031-830-0212",연천군 일원,2022-07-11,,38.0481830000,127.0686900000
경기도,평택시,신장동,"41220112",생활편의형SOC,CVNTL,소방서,경기도 송탄소방서,CVNTL_21_41220_00032,,경기도 평택시 경기대로 1627,경기도 평택시 신장동 505-2,"031-685-8212",평택시 신장동  일원,2022-07-11,,37.0896900000,127.0622100000
경기도,가평군,가평읍,"41820250",생활편의형SOC,CVNTL,소방서,경기도 가평소방서,CVNTL_21_41820_00001,,경기도 가평군 가평읍 가화로 36,경기도 가평군 가평읍 대곡리 213-5,"031-580-0212",가평군 일원,2022-07-11,,37.8235800000,127.5166700000
경기도,남양주시,평내동,"41360102",생활편의형SOC,CVNTL,소방서,경기도 남양주소방서,CVNTL_21_41360_00010,,경기도 남양주시 평내로 25,경기도 남양주시 평내동 570,"031-590-0212",남양주시 일원,2022-07-11,,37.6432530000,127.2322100000
경기도,오산시,내삼미동,"41370110",생활편의형SOC,CVNTL,소방서,경기도 오산소방서,CVNTL_21_41370_00025,,경기도 오산시 문헌공로 30,경기도 오산시 내삼미동 880,"031-8059-7212",오산시 일원,2022-07-11,,37.1753040000,127.0538200000
경기도,용인시 처인구,역북동,"41461102",생활편의형SOC,CVNTL,소방서,경기도 용인소방서,CVNTL_21_41461_00026,,경기도 용인시 처인구 명지로 45,경기도 용인시 처인구 역북동 586-7,"031-8021-0212",용인시 일원,2022-07-11,,37.2322600000,127.1898650000
경기도,구리시,교문동,"41310104",생활편의형SOC,CVNTL,소방서,경기도 구리소방서,CVNTL_21_41310_00007,,경기도 구리시 아차산로487번길 46,경기도 구리시 교문동 354-6,"031-570-6214",구리시 일원,2022-07-11,,37.5982930000,127.1278400000
경기도,의왕시,고천동,"41430101",생활편의형SOC,CVNTL,소방서,경기도 의왕소방서,CVNTL_21_41430_00027,,경기도 의왕시 오봉로 9,경기도 의왕시 고천동 78-3,"031-596-0214",의왕시 일원,2022-07-11,,37.3441050000,126.9747700000
