시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,보관대수,설치연도,설치형태,차양막 설치여부,공기주입기 비치여부,공기주입기 유형,수리대 설치여부,관리기관 전화번호,관리기관명,데이터갱신일자,업태구분명,위도,경도
경기도,과천시,별양동,"41290109",생활편의형SOC,CVNTL,자전거보관소,과천역 6번 출구,CVNTL_24_41290_00200,,"",경기도 과천시 별양동 84-6,27,"2008",거치형,Y,N,기타,N,"02-3677-2288",과천시청(교통과),2022-07-11,,37.4315640000,126.9950000000
경기도,김포시,장기동,"41570104",생활편의형SOC,CVNTL,자전거보관소,광장44호,CVNTL_24_41570_00520,,"",경기도 김포시 장기동 1885-14,7,"2012",거치형,Y,N,"",N,"031-980-2785",김포시청,2022-07-11,,37.6436200000,126.6576600000
경기도,동두천시,지행동,"41250102",생활편의형SOC,CVNTL,자전거보관소,연빌딩 앞,CVNTL_24_41250_00563,,경기도 동두천시 지행로 63,경기도 동두천시 지행동 695-2,2,"","",N,N,"",N,"031-860-2419",동두천시청 도로과,2022-07-11,,37.8926600000,127.0542450000
경기도,동두천시,지행동,"41250102",생활편의형SOC,CVNTL,자전거보관소,영스포츠 앞,CVNTL_24_41250_00564,,경기도 동두천시 중앙로 125,경기도 동두천시 지행동 691-5,5,"","",N,N,"",N,"031-860-2419",동두천시청 도로과,2022-07-11,,37.8927540000,127.0517500000
경기도,부천시,중동,"41190108",생활편의형SOC,CVNTL,자전거보관소,부천시청역 1번출구,CVNTL_24_41190_00842,,경기도 부천시 석천로 188,경기도 부천시 중동 1157,62,"",거치형,N,N,"",N,"032-625-5623",신중동행정복지센터,2022-07-11,,37.5040660000,126.7639540000
경기도,부천시,중동,"41190108",생활편의형SOC,CVNTL,자전거보관소,부천시청역 2번출구,CVNTL_24_41190_00843,,경기도 부천시 석천로 188,경기도 부천시 중동 1157,34,"",거치형,N,N,"",N,"032-625-5623",신중동행정복지센터,2022-07-11,,37.5040660000,126.7639540000
경기도,안양시 동안구,비산동,"41173101",생활편의형SOC,CVNTL,자전거보관소,평화공원 내,CVNTL_24_41173_02826,,경기도 안양시 동안구 시민대로159번길 11,경기도 안양시 동안구 비산동 1104-2,10,"","","",Y,"",N,"031-8045-4484",안양시 동안구청,2022-07-11,,37.3900220000,126.9482000000
경기도,부천시,중동,"41190108",생활편의형SOC,CVNTL,자전거보관소,한화생명,CVNTL_24_41190_00894,,경기도 부천시 신흥로 179,경기도 부천시 중동 1132-3,10,"",거치형,N,N,"",N,"032-625-5623",신중동행정복지센터,2022-07-11,,37.4996870000,126.7765900000
경기도,구리시,토평동,"41310107",생활편의형SOC,CVNTL,자전거보관소,구리한강시민공원,CVNTL_24_41310_00401,,"",경기도 구리시 토평동 493,18,"",거치형,N,N,"",N,"031-550-2419",구리시청,2022-07-11,,37.5756300000,127.1423800000
경기도,수원시 영통구,이의동,"41117103",생활편의형SOC,CVNTL,자전거보관소,산의초등학교,CVNTL_24_41117_01884,,경기도 수원시 영통구 센트럴타운로22번길 25,경기도 수원시 영통구 이의동 1327,10,"","","",N,"",N,"070-4485-9704",산의초등학교,2022-07-11,,37.2903700000,127.0571900000
경기도,부천시,상동,"41190109",생활편의형SOC,CVNTL,자전거보관소,KB국민은행 앞,CVNTL_24_41190_00702,,경기도 부천시 상일로 96,경기도 부천시 상동 401,10,"",거치형,Y,N,"",N,"032-625-5793",상동행정복지센터,2022-07-11,,37.4913020000,126.7528900000
경기도,수원시 영통구,하동,"41117104",생활편의형SOC,CVNTL,자전거보관소,법조타운사거리,CVNTL_24_41117_01915,,"",경기도 수원시 영통구 하동 1037,12,"","","",N,"",N,"031-228-3426",수원시청,2022-07-11,,37.2929760000,127.0674060000
경기도,양주시,덕계동,"41630116",생활편의형SOC,CVNTL,자전거보관소,덕계고등학교,CVNTL_24_41630_02976,,경기도 양주시 평화로1489번길 34,경기도 양주시 덕계동 524-1,26,"","","",N,"",N,"031-8082-6731",양주시 도로과,2022-07-11,,37.8240780000,127.0479800000
경기도,양주시,덕계동,"41630116",생활편의형SOC,CVNTL,자전거보관소,대우푸르지오,CVNTL_24_41630_02977,,경기도 양주시 고덕로 87-1,경기도 양주시 덕계동 852,180,"","",Y,N,"",N,"031-8082-6731",양주시 도로과,2022-07-11,,37.8123470000,127.0559900000
경기도,의정부시,금오동,"41150109",생활편의형SOC,CVNTL,자전거보관소,효자교앞,CVNTL_24_41150_03285,,"",경기도 의정부시 금오동 476-16,10,"",거치형,Y,N,"",N,"031-828-2433",경기도 의정부시청,2022-07-11,,37.7537460000,127.0730600000
경기도,이천시,진리동,"41500106",생활편의형SOC,CVNTL,자전거보관소,복하고수부지 자전거보관대,CVNTL_24_41500_03361,,경기도 이천시 경충대로2422번길 17,경기도 이천시 진리동 140,7,"2010",거치형,Y,N,"",N,"031-644-3832",이천시 교통행정과,2022-07-11,,37.2683140000,127.4605200000
경기도,파주시,야동동,"41480104",생활편의형SOC,CVNTL,자전거보관소,한빛5단지 520동 버스정류장,CVNTL_24_41480_03401,,"",경기도 파주시 야동동 995,14,"","",Y,N,"",N,"031-940-4677",경기도 파주시청,2022-07-11,,37.7733300000,126.7663400000
경기도,파주시,문산읍,"41480250",생활편의형SOC,CVNTL,자전거보관소,홈플러스 파주문산점,CVNTL_24_41480_03419,,경기도 파주시 문산읍 방촌로 1759,경기도 파주시 문산읍 당동리 880,14,"","",N,N,"",N,"031-940-4677",경기도 파주시청,2022-07-11,,37.8698650000,126.7855300000
경기도,안양시 동안구,관양동,"41173102",생활편의형SOC,CVNTL,자전거보관소,인덕원역 8번출구,CVNTL_24_41173_02846,,경기도 안양시 동안구 관악대로 479-2,경기도 안양시 동안구 관양동 107-3,127,"","","",N,"",N,"031-8045-4484",안양시 동안구청,2022-07-11,,37.4030950000,126.9757160000
경기도,안양시 동안구,비산동,"41173101",생활편의형SOC,CVNTL,자전거보관소,안양종합운동장 내,CVNTL_24_41173_02808,,경기도 안양시 동안구 평촌대로 389,경기도 안양시 동안구 비산동 1023,224,"","","",Y,"",N,"031-8045-4484",안양시 동안구청,2022-07-11,,37.4052350000,126.9476550000
경기도,성남시 중원구,금광동,"41133103",생활편의형SOC,CVNTL,자전거보관소,남한산성입구역 1번출구,CVNTL_24_41133_01728,,"",경기도 성남시 중원구 금광동 4849,2,"2017",거치형,N,N,"",N,"031-729-3303",성남시청,2022-07-11,,37.4474100000,127.1598740000
경기도,성남시 중원구,도촌동,"41133107",생활편의형SOC,CVNTL,자전거보관소,이왕이공원(도촌파출소내),CVNTL_24_41133_01751,,"",경기도 성남시 중원구 도촌동 654,1,"2010",단독형,Y,Y,기계식,N,"031-729-3303",성남시청,2022-07-11,,37.4190600000,127.1554640000
경기도,성남시 중원구,도촌동,"41133107",생활편의형SOC,CVNTL,자전거보관소,이왕이공원(도촌파출소내),CVNTL_24_41133_01752,,"",경기도 성남시 중원구 도촌동 654,1,"2010",단독형,Y,Y,기계식,N,"031-729-3303",성남시청,2022-07-11,,37.4190600000,127.1554640000
경기도,성남시 수정구,태평동,"41131102",생활편의형SOC,CVNTL,자전거보관소,성남시 의료원입구 삼거리,CVNTL_24_41131_01653,,경기도 성남시 수정구 수정로171번길 10,경기도 성남시 수정구 태평동 3309,1,"2017",거치형,N,N,"",N,"031-729-3303",성남시청,2022-07-11,,37.4447820000,127.1390400000
경기도,성남시 중원구,성남동,"41133101",생활편의형SOC,CVNTL,자전거보관소,성남동 주민센터,CVNTL_24_41133_01754,,경기도 성남시 중원구 광명로 91,경기도 성남시 중원구 성남동 2230-31,1,"2010",단독형,Y,N,기타,N,"031-729-3303",성남시청,2022-07-11,,37.4352340000,127.1391400000
경기도,파주시,와동동,"41480122",생활편의형SOC,CVNTL,자전거보관소,운정행복센터 버스정류장,CVNTL_24_41480_03491,,"",경기도 파주시 와동동 1360,10,"","",N,N,"",N,"031-940-4677",파주시청,2022-07-11,,37.7232670000,126.7511900000
경기도,성남시 중원구,성남동,"41133101",생활편의형SOC,CVNTL,자전거보관소,성남동 주민센터,CVNTL_24_41133_01764,,경기도 성남시 중원구 광명로 91,경기도 성남시 중원구 성남동 2230-31,1,"2010",단독형,Y,N,"",N,"031-729-3303",성남시청,2022-07-11,,37.4352340000,127.1391400000
경기도,화성시,능동,"41590118",생활편의형SOC,CVNTL,자전거보관소,숲속자연앤 BS,CVNTL_24_41590_03880,,"",경기도 화성시 능동 1115-3,6,"",거치형,"",N,"",N,"031-5189-4218",경기도 화성시 동부출장소,2022-07-11,,37.2070430000,127.0599100000
경기도,평택시,오성면,"41220340",생활편의형SOC,CVNTL,자전거보관소,창내리 쉼터,CVNTL_24_41220_03730,,"",경기도 평택시 오성면 당거리 276-6,4,"2013",거치형,Y,Y,수동식,N,"031-8024-4742",경기도 평택시청,2022-07-11,,36.9852300000,127.0127800000
