시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,충전소위치 상세,휴점일,이용가능 시작시각,이용가능 종료시각,완속충전 가능여부,급속충전 가능여부,급속충전 타입구분,완속충전기 대수,급속충전기 대수,주차료부과 여부,관리업체명,관리업체 전화번호,데이터 갱신일자,업태구분명,위도,경도
경기도,광명시,광명동,"41210101",생활편의형SOC,CVNTL,전기충전소,광명시돔경륜장,CVNTL_25_41210_00211,,경기도 광명시 광명로 721,경기도 광명시 광명동 780,,,,,,,,,,,한국전기차충전서비스,,2022-07-11,,37.4677850000,126.8449500000
경기도,부천시,상동,"41190109",생활편의형SOC,CVNTL,전기충전소,부천체육문화센터,CVNTL_25_41190_00531,,경기도 부천시 조마루로 2,경기도 부천시 상동 572-1,,,,,,,,,,,케이티,,2022-07-11,,37.4993970000,126.7447900000
경기도,부천시,심곡본동,"41190111",생활편의형SOC,CVNTL,전기충전소,대산동행정복지센터,CVNTL_25_41190_00507,,경기도 부천시 심곡로9번길 54,경기도 부천시 심곡본동 665-13,,,,,,,,,,,한국전기차충전서비스,,2022-07-11,,37.4824450000,126.7790000000
경기도,과천시,문원동,"41290102",생활편의형SOC,CVNTL,전기충전소,사기막골1공영주차장,CVNTL_25_41290_00188,,"",경기도 과천시 문원동 324-14,,,,,,,,,,,한국전기차충전서비스,,2022-07-11,,37.4197240000,126.9991800000
경기도,고양시 일산동구,중산동,"41285102",생활편의형SOC,CVNTL,전기충전소,고양시 호텔박스,CVNTL_25_41285_00104,,경기도 고양시 일산동구 약산길 5-24,경기도 고양시 일산동구 중산동 42-1,,,,,,,,,,,차지비,,2022-07-11,,37.6801100000,126.7910800000
경기도,수원시 팔달구,매교동,"41115133",생활편의형SOC,CVNTL,전기충전소,수원시 매교동 주민센터,CVNTL_25_41115_00828,,경기도 수원시 팔달구 효원로55번길 57,경기도 수원시 팔달구 매교동 88-1,,,,,,,,,,,차지비,,2022-07-11,,37.2686770000,127.0144100000
경기도,화성시,정남면,"41590410",생활편의형SOC,CVNTL,전기충전소,화성북경반점,CVNTL_25_41590_01778,,경기도 화성시 정남면 정남동로 43,경기도 화성시 덕절리 472-1,,,,,,,,,,,제주전기자동차서비스,,2022-07-11,,37.1393430000,127.0331200000
경기도,김포시,대곶면,"41570340",생활편의형SOC,CVNTL,전기충전소,프리존모텔,CVNTL_25_41570_00329,,경기도 김포시 대곶면 약암로 786-38,경기도 김포시 대곶면 약암리 1351,,,,,,,,,,,에버온,,2022-07-11,,37.6256700000,126.5591400000
경기도,군포시,산본동,"41410104",생활편의형SOC,CVNTL,전기충전소,산본e편한세상센트럴파크아파트,CVNTL_25_41410_00296,,경기도 군포시 고산로 596-15,경기도 군포시 산본동 1121,,,,,,,,,,,케이티,,2022-07-11,,37.3642230000,126.9290500000
경기도,포천시,신읍동,"41650101",생활편의형SOC,CVNTL,전기충전소,한국전력공사 포천지사,CVNTL_25_41650_01691,,경기도 포천시 원모루로 12,경기도 포천시 신읍동 380-1,,,,,,,,,,,한국전력,,2022-07-11,,37.8903800000,127.1953500000
경기도,남양주시,다산동,"41360112",생활편의형SOC,CVNTL,전기충전소,플루리움1단지아파트,CVNTL_25_41360_00435,,경기도 남양주시 도농로 34,경기도 남양주시 도농동 2-1,,,,,,,,,,,케이티,,2022-07-11,,37.6103860000,127.1576160000
경기도,남양주시,다산동,"41360112",생활편의형SOC,CVNTL,전기충전소,이마트 다산점,CVNTL_25_41360_00386,,경기도 남양주시 도농로 24,경기도 남양주시 도농동 1-29,,,,,,,,,,,환경부(한국자동차환경협회),,2022-07-11,,37.6085470000,127.1586800000
경기도,여주시,강천면,"41670370",생활편의형SOC,CVNTL,전기충전소,종단대순진리회여주본부도장1,CVNTL_25_41670_01218,,경기도 여주시 강천면 강천로 897,경기도 여주시 가야리 651-1,,,,,,,,,,,이카플러그,,2022-07-11,,37.2791330000,127.6895300000
경기도,수원시 팔달구,신풍동,"41115130",생활편의형SOC,CVNTL,전기충전소,행궁동 생태공원,CVNTL_25_41115_00825,,,경기도 수원시 팔달구 신풍동 154-1,,,,,,,,,,,수원시,,2022-07-11,,37.2850400000,127.0144800000
