시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,주차장관리번호,주차장구분,주차장유형,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,데이터갱신일자,업태구분명,위도,경도
경기도,안산시 단원구,대부북동,"41273111",생활편의형SOC,CVNTL,주차장,방아머리항 노외주차장,CVNTL_23_41273_00485,,경기도 안산시 단원구 대부황금로 1567-3,경기도 안산시 단원구 대부북동 1955,"217-2-000020",공영,노외,22,기타,미시행,평일+토요일+공휴일,"0:00","0:00","0:00","0:00","0:00","0:00",무료,0,0,,,,,,"","",경기도 안산시 단원구청 경제교통과,"031-481-6316",2022-07-11,,37.2962840000,126.5744400000
경기도,안양시 만안구,안양동,"41171101",생활편의형SOC,CVNTL,주차장,덕천노상,CVNTL_23_41171_00573,,경기도 안양시 만안구 덕천로 98,경기도 안양시 만안구 안양동 194-49,"208-1-000011",공영,노상,42,"2",미시행,평일,"9:00","17:00","0:00","0:00","0:00","0:00",유료,30,400,,,,,,"","",경기도 안양시,"031-8045-5255",2022-07-11,,37.3897630000,126.9344600000
경기도,여주시,상동,"41670101",생활편의형SOC,CVNTL,주차장,상동공용무료,CVNTL_23_41670_00654,,경기도 여주시 청심로 233-7,경기도 여주시 상동 141-1번지,"237-2-000005",공영,노외,40,"1",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",무료,0,,,,,,,"","",경기도 여주시청,"031-887-2234",2022-07-11,,37.2949883783,127.6459084975
경기도,포천시,소흘읍,"41650250",생활편의형SOC,CVNTL,주차장,쌈지주차장,CVNTL_23_41650_00949,,경기도 포천시 소흘읍 봉솔로3길 11-7,경기도 포천시 소흘읍 송우리 154-2번지,"236-2-000030",공영,노외,30,"1",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",무료,30,,,,,,,"",무료,경기도 포천시청,"031-538-3493",2022-07-11,,37.8274074016,127.1430570421
경기도,의왕시,내손동,"41430107",생활편의형SOC,CVNTL,주차장,포일공영주차장,CVNTL_23_41430_00797,,경기도 의왕시 정우2길 6,경기도 의왕시 내손동 525,"226-2-000001",공영,노외,221,"3",미시행,평일+토요일+공휴일,"0:00","23:59","0:00","23:59","0:00","23:59",유료,30,500,10,200,260,5000,40000,신용카드,"",의왕도시공사,"031-8086-7440",2022-07-11,,37.3832417726,126.9833413005
경기도,수원시 장안구,연무동,"41111137",생활편의형SOC,CVNTL,주차장,연무동공영,CVNTL_23_41111_00458,,경기도 수원시 장안구 경수대로743번길 57,경기도 수원시 장안구 연무동 160-13번지,"200-2-000010",공영,노외,164,"2",미시행,평일+토요일+공휴일,"0:00","0:00","0:00","0:00","0:00","0:00",유료,30,400,10,200,24,4000,40000,신용카드,"",수원도시공사,"",2022-07-11,,37.2881041193,127.0215912207
경기도,남양주시,와부읍,"41360250",생활편의형SOC,CVNTL,주차장,와부 제3공영,CVNTL_23_41360_00177,,경기도 남양주시 와부읍 덕소로 237,경기도 남양주시 와부읍 도곡리 1037-13 번지,"222-2-000027",공영,노외,93,"1",요일제,평일+토요일,"10:00","19:00","10:00","19:00","0:00","0:00",유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,"031-560-1212",2022-07-11,,37.5788375554,127.2248595888
경기도,부천시,상동,"41190109",생활편의형SOC,CVNTL,주차장,상동호수공원2노외공영,CVNTL_23_41190_00264,,경기도 부천시 조마루로 15,경기도 부천시 상동 549,"000-3-000078",공영,부설,85,기타,미시행,평일+토요일+공휴일,"11:00","19:00","11:00","19:00","11:00","23:59",유료,30,400,10,200,340,6000,40000,현금+신용카드,"월요일, 공휴일(일요일 제외) 개방",경기도 부천도시공사,"032-340-0923",2022-07-11,,37.5037400000,126.7463150000
경기도,성남시 중원구,중앙동,"41133132",생활편의형SOC,CVNTL,주차장,중상16,CVNTL_23_41133_00350,,경기도 성남시 중원구 산성대로 300,경기도 성남시 중원구 중앙동 541,"205-1-000024",공영,노상,11,"1",요일제,평일,"9:00","18:00","0:00","0:00","0:00","0:00",혼합,30,400,10,200,9,7200,60000,현금+신용카드,경차·장애인 차량 50프로 할인 등,성남도시개발공사 노상주차처,"",2022-07-11,,37.4414860000,127.1502500000
경기도,성남시 중원구,중앙동,"41133132",생활편의형SOC,CVNTL,주차장,중상18,CVNTL_23_41133_00351,,경기도 성남시 중원구 산성대로 310,경기도 성남시 중원구 중앙동 480,"205-1-000025",공영,노상,20,"1",요일제,평일,"9:00","18:00","0:00","0:00","0:00","0:00",혼합,30,400,10,200,9,7200,60000,현금+신용카드,경차·장애인 차량 50프로 할인 등,성남도시개발공사 노상주차처,"",2022-07-11,,37.4418070000,127.1513200000
