시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,관서명,지방청명,경찰서명,구분명,데이터갱신일자,업태구분명,위도,경도
경기도,남양주시,수동면,"41360340",생활편의형SOC,CVNTL,파출소,수동 파출소,CVNTL_20_41360_00058,,경기도 남양주시 수동면 비룡로 808,경기도 남양주시 수동면 입석리 341-4,,경기북부청,남양주,파출소,2022-07-11,,37.7095530000,127.3221200000
경기도,안산시 단원구,원시동,"41273105",생활편의형SOC,CVNTL,파출소,공단 파출소,CVNTL_20_41273_00147,,경기도 안산시 단원구 동산로 29,경기도 안산시 단원구 원시동 773-6,,경기남부청,안산단원,파출소,2022-07-11,,37.3128200000,126.7933900000
경기도,광명시,광명동,"41210101",생활편의형SOC,CVNTL,파출소,광명 파출소,CVNTL_20_41210_00027,,경기도 광명시 오리로991번길 6,경기도 광명시 광명동 158-834,,경기남부청,광명,파출소,2022-07-11,,37.4793000000,126.8528440000
경기도,안산시 단원구,원곡동,"41273108",생활편의형SOC,CVNTL,파출소,원선 파출소,CVNTL_20_41273_00151,,경기도 안산시 단원구 원선로 33,경기도 안산시 단원구 원곡동 821-3,,경기남부청,안산단원,파출소,2022-07-11,,37.3280680000,126.7972500000
경기도,안산시 단원구,원곡동,"41273108",생활편의형SOC,CVNTL,파출소,원선 다문화 파출소,CVNTL_20_41273_00152,,경기도 안산시 단원구 원곡공원로 30,경기도 안산시 단원구 원곡동 753,,경기남부청,안산단원,파출소,2022-07-11,,37.3326260000,126.7946000000
경기도,의왕시,내손동,"41430107",생활편의형SOC,CVNTL,파출소,내손 파출소,CVNTL_20_41430_00247,,경기도 의왕시 갈미로 77,경기도 의왕시 내손동 759,,경기남부청,의왕,파출소,2022-07-11,,37.3787124000,126.9757877000
경기도,연천군,신서면,"41800360",생활편의형SOC,CVNTL,파출소,신서 파출소,CVNTL_20_41800_00223,,경기도 연천군 신서면 연신로 1153,경기도 연천군 신서면 도신리 285-11,,경기북부청,연천,파출소,2022-07-11,,38.1847768000,127.1072018000
경기도,남양주시,조안면,"41360360",생활편의형SOC,CVNTL,파출소,조안 파출소,CVNTL_20_41360_00064,,경기도 남양주시 조안면 북한강로 131,경기도 남양주시 조안면 조안리 192-14,,경기북부청,남양주,파출소,2022-07-11,,37.5368810000,127.3023781000
경기도,구리시,수택동,"41310105",생활편의형SOC,CVNTL,파출소,토평 파출소,CVNTL_20_41310_00039,,경기도 구리시 체육관로74번길 55,경기도 구리시 수택동 851-3,,경기북부청,구리,지구대,2022-07-11,,37.5913540000,127.1411740000
경기도,구리시,수택동,"41310105",생활편의형SOC,CVNTL,파출소,수택 파출소,CVNTL_20_41310_00040,,경기도 구리시 검배로71번길 12-5,경기도 구리시 수택동 493-5,,경기북부청,구리,파출소,2022-07-11,,37.5964900000,127.1471700000
경기도,의정부시,호원동,"41150102",생활편의형SOC,CVNTL,파출소,호원 파출소,CVNTL_20_41150_00252,,경기도 의정부시 평화로 159,경기도 의정부시 호원동 465-3,,경기북부청,의정부,파출소,2022-07-11,,37.7059900000,127.0478300000
경기도,광주시,능평동,"41610116",생활편의형SOC,CVNTL,파출소,오포서부 파출소,CVNTL_20_41610_00038,,경기도 광주시 오포읍 오포로171번길 3,경기도 광주시 오포읍 능평리 133,,경기남부청,광주,파출소,2022-07-11,,37.3470400000,127.1828000000
경기도,군포시,당동,"41410101",생활편의형SOC,CVNTL,파출소,군포 파출소,CVNTL_20_41410_00044,,경기도 군포시 군포로 511,경기도 군포시 당동 775-18,,경기남부청,군포,지구대,2022-07-11,,37.3521460000,126.9445800000
경기도,안산시 단원구,고잔동,"41273101",생활편의형SOC,CVNTL,파출소,호수 지구대,CVNTL_20_41273_00153,,경기도 안산시 단원구 광덕2로 127,경기도 안산시 단원구 고잔동 712-3,,경기남부청,안산단원,파출소,2022-07-11,,37.3102870000,126.8247900000
경기도,안산시 단원구,고잔동,"41273101",생활편의형SOC,CVNTL,파출소,안산단원경찰서,CVNTL_20_41273_00154,,경기도 안산시 단원구 화랑로 373,경기도 안산시 단원구 고잔동 514,,경기남부청,안산단원,지구대,2022-07-11,,37.3216300000,126.8288650000
경기도,김포시,하성면,"41570360",생활편의형SOC,CVNTL,파출소,하성 파출소,CVNTL_20_41570_00051,,경기도 김포시 하성면 애기봉로 847,경기도 김포시 하성면 마곡리 623-1,,경기남부청,김포,파출소,2022-07-11,,37.7197880000,126.6316800000
경기도,김포시,고촌읍,"41570253",생활편의형SOC,CVNTL,파출소,김포터미널 파출소,CVNTL_20_41570_00054,,경기도 김포시 고촌읍 아라육로152번길 56,경기도 김포시 고촌읍 전호리 68-10,,경기남부청,김포,파출소,2022-07-11,,37.5960920000,126.7850340000
경기도,남양주시,평내동,"41360102",생활편의형SOC,CVNTL,파출소,평내 파출소,CVNTL_20_41360_00060,,경기도 남양주시 경춘로 1211,경기도 남양주시 평내동 438-12,,경기북부청,남양주,파출소,2022-07-11,,37.6449930000,127.2296500000
경기도,남양주시,진접읍,"41360253",생활편의형SOC,CVNTL,파출소,진접 파출소,CVNTL_20_41360_00066,,경기도 남양주시 진접읍 장현로 113,경기도 남양주시 진접읍 장현리 351-34,,경기북부청,남양주,파출소,2022-07-11,,37.7200470000,127.1840600000
경기도,동두천시,보산동,"41250106",생활편의형SOC,CVNTL,파출소,중앙 파출소,CVNTL_20_41250_00074,,경기도 동두천시 중앙로 393,경기도 동두천시 보산동 405,,경기북부청,동두천,파출소,2022-07-11,,37.9132700000,127.0607200000
경기도,동두천시,동두천동,"41250107",생활편의형SOC,CVNTL,파출소,소요 파출소,CVNTL_20_41250_00075,,경기도 동두천시 평화로 2695,경기도 동두천시 동두천동 252-3,,경기북부청,동두천,파출소,2022-07-11,,37.9286500000,127.0564400000
경기도,남양주시,진접읍,"41360253",생활편의형SOC,CVNTL,파출소,해밀 파출소,CVNTL_20_41360_00067,,경기도 남양주시 진접읍 해밀예당1로 251,경기도 남양주시 진접읍 금곡리 1012,,경기북부청,남양주,파출소,2022-07-11,,37.7223970000,127.2048000000
